,hiddenNeurons,denseSize,predictionDays,epochNo,batchSize,RMSE,R^2,LSTM
31,20,50,55,100,64,3.7986526730852077,0.9489066737148445,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  121.398331
2021-03-15  123.989998  121.861176
2021-03-16  125.570000  123.032616
2021-03-17  124.760002  124.558174
2021-03-18  120.529999  125.523445
...                ...         ...
2022-03-04  163.169998  161.834564
2022-03-07  159.300003  161.402267
2022-03-08  157.440002  159.591766
2022-03-09  162.949997  157.419510
2022-03-10  158.520004  157.559952

[252 rows x 2 columns]"
32,20,50,55,100,128,6.690019451771067,0.8415253628132675,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  118.829582
2021-03-15  123.989998  118.899147
2021-03-16  125.570000  119.358604
2021-03-17  124.760002  120.174652
2021-03-18  120.529999  121.057365
...                ...         ...
2022-03-04  163.169998  155.485840
2022-03-07  159.300003  155.487000
2022-03-08  157.440002  155.059082
2022-03-09  162.949997  154.273926
2022-03-10  158.520004  153.906509

[252 rows x 2 columns]"
33,20,50,55,150,32,3.2435540331979804,0.9627481985692736,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  122.414352
2021-03-15  123.989998  121.895935
2021-03-16  125.570000  124.164108
2021-03-17  124.760002  125.934448
2021-03-18  120.529999  125.331924
...                ...         ...
2022-03-04  163.169998  163.216629
2022-03-07  159.300003  159.919342
2022-03-08  157.440002  156.167847
2022-03-09  162.949997  154.618637
2022-03-10  158.520004  160.274673

[252 rows x 2 columns]"
34,20,50,55,150,64,5.155063413888293,0.9059035954569805,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  120.584671
2021-03-15  123.989998  121.068726
2021-03-16  125.570000  122.429947
2021-03-17  124.760002  124.063034
2021-03-18  120.529999  124.891502
...                ...         ...
2022-03-04  163.169998  160.367889
2022-03-07  159.300003  159.471313
2022-03-08  157.440002  156.978500
2022-03-09  162.949997  154.397644
2022-03-10  158.520004  155.124084

[252 rows x 2 columns]"
35,20,50,55,150,128,5.893856929952304,0.8770002626918818,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  119.316261
2021-03-15  123.989998  119.583832
2021-03-16  125.570000  120.422165
2021-03-17  124.760002  121.684334
2021-03-18  120.529999  122.801735
...                ...         ...
2022-03-04  163.169998  158.377518
2022-03-07  159.300003  158.592300
2022-03-08  157.440002  157.625473
2022-03-09  162.949997  155.890182
2022-03-10  158.520004  155.192886

[252 rows x 2 columns]"
36,20,50,60,50,32,4.871614777339943,0.9159668035593715,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  120.183998
2021-03-15  123.989998  120.529564
2021-03-16  125.570000  121.468727
2021-03-17  124.760002  122.812546
2021-03-18  120.529999  123.920464
...                ...         ...
2022-03-04  163.169998  159.742889
2022-03-07  159.300003  159.962021
2022-03-08  157.440002  159.091522
2022-03-09  162.949997  157.559082
2022-03-10  158.520004  157.132431

[252 rows x 2 columns]"
37,20,50,60,50,64,5.561126086459452,0.8904958725781702,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  120.030945
2021-03-15  123.989998  120.122604
2021-03-16  125.570000  120.643486
2021-03-17  124.760002  121.513695
2021-03-18  120.529999  122.400406
...                ...         ...
2022-03-04  163.169998  157.436646
2022-03-07  159.300003  157.515274
2022-03-08  157.440002  157.069412
2022-03-09  162.949997  156.246628
2022-03-10  158.520004  156.010071

[252 rows x 2 columns]"
38,20,50,60,50,128,5.329661770102453,0.8994216972365052,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  121.377731
2021-03-15  123.989998  121.205841
2021-03-16  125.570000  121.345505
2021-03-17  124.760002  121.784042
2021-03-18  120.529999  122.340042
...                ...         ...
2022-03-04  163.169998  159.088440
2022-03-07  159.300003  158.849487
2022-03-08  157.440002  158.372528
2022-03-09  162.949997  157.674835
2022-03-10  158.520004  157.245071

[252 rows x 2 columns]"
39,20,50,60,100,32,3.0465600525214267,0.9671356920452924,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  123.173241
2021-03-15  123.989998  123.021744
2021-03-16  125.570000  124.848198
2021-03-17  124.760002  126.637100
2021-03-18  120.529999  126.493027
...                ...         ...
2022-03-04  163.169998  163.939499
2022-03-07  159.300003  161.171494
2022-03-08  157.440002  157.388748
2022-03-09  162.949997  155.365311
2022-03-10  158.520004  159.927261

[252 rows x 2 columns]"
40,20,50,60,100,64,4.26752068731948,0.9355153606420424,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  122.784950
2021-03-15  123.989998  123.284744
2021-03-16  125.570000  124.487381
2021-03-17  124.760002  126.047630
2021-03-18  120.529999  127.066208
...                ...         ...
2022-03-04  163.169998  161.330566
2022-03-07  159.300003  160.908752
2022-03-08  157.440002  158.955688
2022-03-09  162.949997  156.568924
2022-03-10  158.520004  156.602173

[252 rows x 2 columns]"
41,20,50,60,100,128,8.415076712579067,0.7492614188909266,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  117.161896
2021-03-15  123.989998  117.289444
2021-03-16  125.570000  117.853157
2021-03-17  124.760002  118.774277
2021-03-18  120.529999  119.689056
...                ...         ...
2022-03-04  163.169998  153.207657
2022-03-07  159.300003  153.290436
2022-03-08  157.440002  152.734665
2022-03-09  162.949997  151.738876
2022-03-10  158.520004  151.409927

[252 rows x 2 columns]"
42,20,50,60,150,32,3.986343405085799,0.9437329142806012,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  122.217148
2021-03-15  123.989998  122.008675
2021-03-16  125.570000  123.691093
2021-03-17  124.760002  125.531998
2021-03-18  120.529999  125.450035
...                ...         ...
2022-03-04  163.169998  161.777298
2022-03-07  159.300003  159.130051
2022-03-08  157.440002  155.285477
2022-03-09  162.949997  153.281876
2022-03-10  158.520004  157.837006

[252 rows x 2 columns]"
43,20,50,60,150,64,4.320853496547982,0.9338935116208223,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  120.574165
2021-03-15  123.989998  121.075630
2021-03-16  125.570000  122.474609
2021-03-17  124.760002  124.161522
2021-03-18  120.529999  124.877953
...                ...         ...
2022-03-04  163.169998  161.587677
2022-03-07  159.300003  160.402084
2022-03-08  157.440002  157.554581
2022-03-09  162.949997  154.830124
2022-03-10  158.520004  155.994537

[252 rows x 2 columns]"
44,20,50,60,150,128,5.684618759640361,0.8855784851970363,"                Actual   Predicted
DateTime                          
2021-03-12  121.029999  121.055069
2021-03-15  123.989998  121.358086
2021-03-16  125.570000  122.231812
2021-03-17  124.760002  123.475967
2021-03-18  120.529999  124.518547
...                ...         ...
2022-03-04  163.169998  157.399124
2022-03-07  159.300003  157.513641
2022-03-08  157.440002  156.609528
2022-03-09  162.949997  155.177979
2022-03-10  158.520004  154.999527

[252 rows x 2 columns]"
